Placement:Delivery zone
-6,0,-20.79|1,1,1|0,0,0,1|0,0,0
Placement:Box
0,-0.5,0|45,1,60|0,0,0,1|0,0,0
Placement:Box Objective
# Middle
-12.0,0.19,-12.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
-12.0,1.53,-12.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
-12.0,2.99,-12.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
-12.0,0.19,-18.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
-12.0,1.53,-18.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
-12.0,2.99,-18.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
# Right Bottom
-10.25,0.19,-12.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
-10.25,0.19,-14.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
-10.25,0.19,-16.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
-10.25,0.19,-18.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
# Right Middle
-10.25,1.53,-12.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
-10.25,1.53,-14.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
-10.25,1.53,-16.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
-10.25,1.53,-18.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
# Right Top
-10.25,2.99,-12.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
-10.25,2.99,-14.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
-10.25,2.99,-16.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
-10.25,2.99,-18.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
# Left Bottom
-13.75,0.19,-12.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
-13.75,0.19,-14.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
-13.75,0.19,-16.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
-13.75,0.19,-18.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
# Left Middle
-13.75,1.53,-12.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
-13.75,1.53,-14.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
-13.75,1.53,-16.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
-13.75,1.53,-18.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
# Left Top
-13.75,2.99,-12.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
-13.75,2.99,-14.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
-13.75,2.99,-16.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
-13.75,2.99,-18.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
#
# Center
-0.0,0.19,-12.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
-0.0,1.53,-12.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
-0.0,2.99,-12.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
-0.0,0.19,-18.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
-0.0,1.53,-18.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
-0.0,2.99,-18.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
# Right Bottom
-1.75,0.19,-12.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
-1.75,0.19,-14.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
-1.75,0.19,-16.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
-1.75,0.19,-18.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
# Right Middle
-1.75,1.53,-12.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
-1.75,1.53,-14.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
-1.75,1.53,-16.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
-1.75,1.53,-18.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
# Right Top
-1.75,2.99,-12.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
-1.75,2.99,-14.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
-1.75,2.99,-16.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
-1.75,2.99,-18.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
# Left Bottom
1.75,0.19,-12.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
1.75,0.19,-14.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
1.75,0.19,-16.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
1.75,0.19,-18.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
# Left Middle
1.75,1.53,-12.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
1.75,1.53,-14.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
1.75,1.53,-16.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
1.75,1.53,-18.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
# Left Top
1.75,2.99,-12.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
1.75,2.99,-14.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
1.75,2.99,-16.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
1.75,2.99,-18.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
#
# Middle
12.0,0.19,-12.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
12.0,1.53,-12.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
12.0,2.99,-12.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
12.0,0.19,-18.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
12.0,1.53,-18.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
12.0,2.99,-18.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
# Right Bottom
10.25,0.19,-12.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
10.25,0.19,-14.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
10.25,0.19,-16.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
10.25,0.19,-18.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
# Right Middle
10.25,1.53,-12.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
10.25,1.53,-14.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
10.25,1.53,-16.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
10.25,1.53,-18.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
# Right Top
10.25,2.99,-12.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
10.25,2.99,-14.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
10.25,2.99,-16.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
10.25,2.99,-18.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
# Left Bottom
13.75,0.19,-12.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
13.75,0.19,-14.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
13.75,0.19,-16.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
13.75,0.19,-18.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
# Left Middle
13.75,1.53,-12.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
13.75,1.53,-14.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
13.75,1.53,-16.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
13.75,1.53,-18.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
# Left Top
13.75,2.99,-12.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
13.75,2.99,-14.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
13.75,2.99,-16.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
13.75,2.99,-18.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
#
#
# Middle
-12.0,0.19,-3.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
-12.0,1.53,-3.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
-12.0,2.99,-3.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
-12.0,0.19,3.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
-12.0,1.53,3.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
-12.0,2.99,3.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
# Right Bottom
-10.25,0.19,-3.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
-10.25,0.19,-1.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
-10.25,0.19,1.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
-10.25,0.19,3.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
# Right Middle
-10.25,1.53,-3.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
-10.25,1.53,-1.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
-10.25,1.53,1.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
-10.25,1.53,3.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
# Right Top
-10.25,2.99,-3.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
-10.25,2.99,-1.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
-10.25,2.99,1.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
-10.25,2.99,3.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
# Left Bottom
-13.75,0.19,-3.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
-13.75,0.19,-1.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
-13.75,0.19,1.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
-13.75,0.19,3.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
# Left Middle
-13.75,1.53,-3.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
-13.75,1.53,--1|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
-13.75,1.53,1.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
-13.75,1.53,3.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
# Left Top
-13.75,2.99,-3.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
-13.75,2.99,-1.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
-13.75,2.99,1.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
-13.75,2.99,3.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
#
# Center
-0.0,0.19,-3.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
-0.0,1.53,-3.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
-0.0,2.99,-3.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
-0.0,0.19,3.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
-0.0,1.53,3.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
-0.0,2.99,3.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
# Right Bottom
-1.75,0.19,-3.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
-1.75,0.19,-1.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
-1.75,0.19,1.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
-1.75,0.19,3.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
# Right Middle
-1.75,1.53,-3.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
-1.75,1.53,-1.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
-1.75,1.53,1.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
-1.75,1.53,3.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
# Right Top
-1.75,2.99,-3.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
-1.75,2.99,-1.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
-1.75,2.99,1.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
-1.75,2.99,3.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
# Left Bottom
1.75,0.19,-3.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
1.75,0.19,-1.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
1.75,0.19,1.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
1.75,0.19,3.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
# Left Middle
1.75,1.53,-3.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
1.75,1.53,-1.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
1.75,1.53,1.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
1.75,1.53,3.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
# Left Top
1.75,2.99,-3.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
1.75,2.99,-1.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
1.75,2.99,1.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
1.75,2.99,3.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
#
# Middle
12.0,0.19,-3.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
12.0,1.53,-3.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
12.0,2.99,-3.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
12.0,0.19,3.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
12.0,1.53,3.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
12.0,2.99,3.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
# Right Bottom
10.25,0.19,-3.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
10.25,0.19,-1.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
10.25,0.19,1.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
10.25,0.19,3.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
# Right Middle
10.25,1.53,-3.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
10.25,1.53,-1.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
10.25,1.53,1.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
10.25,1.53,3.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
# Right Top
10.25,2.99,-3.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
10.25,2.99,-1.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
10.25,2.99,1.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
10.25,2.99,3.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
# Left Bottom
13.75,0.19,-3.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
13.75,0.19,-1.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
13.75,0.19,1.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
13.75,0.19,3.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
# Left Middle
13.75,1.53,-3.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
13.75,1.53,-1.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
13.75,1.53,1.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
13.75,1.53,3.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
# Left Top
13.75,2.99,-3.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
13.75,2.99,-1.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
13.75,2.99,1.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
13.75,2.99,3.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
#
#
# Middle
-12.0,0.19,12.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
-12.0,1.53,12.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
-12.0,2.99,12.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
-12.0,0.19,18.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
-12.0,1.53,18.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
-12.0,2.99,18.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
# Right Bottom
-10.25,0.19,12.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
-10.25,0.19,14.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
-10.25,0.19,16.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
-10.25,0.19,18.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
# Right Middle
-10.25,1.53,12.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
-10.25,1.53,14.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
-10.25,1.53,16.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
-10.25,1.53,18.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
# Right Top
-10.25,2.99,12.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
-10.25,2.99,14.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
-10.25,2.99,16.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
-10.25,2.99,18.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
# Left Bottom
-13.75,0.19,12.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
-13.75,0.19,14.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
-13.75,0.19,16.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
-13.75,0.19,18.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
# Left Middle
-13.75,1.53,12.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
-13.75,1.53,14.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
-13.75,1.53,16.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
-13.75,1.53,18.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
# Left Top
-13.75,2.99,12.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
-13.75,2.99,14.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
-13.75,2.99,16.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
-13.75,2.99,18.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
#
# Center
-0.0,0.19,12.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
-0.0,1.53,12.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
-0.0,2.99,12.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
-0.0,0.19,18.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
-0.0,1.53,18.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
-0.0,2.99,18.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
# Right Bottom
-1.75,0.19,-12.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
-1.75,0.19,-14.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
-1.75,0.19,-16.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
-1.75,0.19,-18.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
# Right Middle
-1.75,1.53,12.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
-1.75,1.53,14.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
-1.75,1.53,16.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
-1.75,1.53,18.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
# Right Top
-1.75,2.99,12.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
-1.75,2.99,14.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
-1.75,2.99,16.0|1.0,1.0,1.0|0,0,0,1|0,-0.5,0
